,device,gpsLat,gpsLon,rx_time,seqNumber,spfact,IPT
8892,3432333864377C18,51.21531295776367,4.408428192138672,2018-12-21 15:49:49.582,19937.0,9.0,28.0
8912,3432333864377C18,51.215335845947266,4.4084062576293945,2018-12-21 16:01:01.508,19958.0,9.0,38.0
8913,3432333864377C18,51.2153434753418,4.408402442932129,2018-12-21 16:01:29.092,19959.0,9.0,27.0
8914,3432333864377C18,51.2153434753418,4.408404350280762,2018-12-21 16:01:58.308,19960.0,10.0,29.0
9119,3432333864377C18,51.21376419067383,4.410335063934326,2018-12-21 18:27:07.657,20236.0,10.0,39.0
9120,3432333864377C18,51.21376037597656,4.410332202911377,2018-12-21 18:27:35.032,20237.0,10.0,27.0
9121,3432333864377C18,51.21388244628906,4.410483360290527,2018-12-21 18:28:13.945,20238.0,10.0,38.0
9122,3432333864377C18,51.214012145996094,4.410970211029053,2018-12-21 18:28:41.307,20239.0,10.0,27.0
9123,3432333864377C18,51.21402359008789,4.4109721183776855,2018-12-21 18:29:47.941,20241.0,9.0,66.0
9124,3432333864377C18,51.2130126953125,4.410161972045898,2018-12-21 18:30:09.181,20242.0,9.0,21.0
15400,3432333864377C18,51.22798156738281,4.406169891357422,2018-12-24 11:28:31.625,27659.0,10.0,39.0
15401,3432333864377C18,51.22797393798828,4.406197547912598,2018-12-24 11:28:58.831,27660.0,10.0,27.0
15402,3432333864377C18,51.22798538208008,4.406209945678711,2018-12-24 11:29:37.961,27661.0,10.0,39.0
15403,3432333864377C18,51.22795867919922,4.407740592956543,2018-12-24 11:31:33.207,27665.0,9.0,22.0
16079,3432333864377C18,,,2018-12-24 19:03:21.874,,7.0,39.0
16080,3432333864377C18,,,2018-12-24 19:03:45.794,,7.0,23.0
18385,3432333864377C18,,,2018-12-25 18:37:33.127,,8.0,38.0
18386,3432333864377C18,,,2018-12-25 18:37:57.412,,8.0,24.0
18803,3432333864377C18,,,2018-12-25 22:57:25.629,,8.0,38.0
18804,3432333864377C18,,,2018-12-25 22:57:53.410,,8.0,27.0
18805,3432333864377C18,,,2018-12-25 22:58:21.420,,8.0,28.0
19449,3432333864377C18,,,2018-12-26 05:20:37.338,,8.0,39.0
19450,3432333864377C18,,,2018-12-26 05:21:04.503,,8.0,27.0
19451,3432333864377C18,,,2018-12-26 05:21:43.609,,8.0,39.0
19452,3432333864377C18,,,2018-12-26 05:22:04.636,,8.0,21.0
19541,3432333864377C18,,,2018-12-26 06:16:29.476,,8.0,38.0
19542,3432333864377C18,,,2018-12-26 06:16:53.190,,8.0,23.0
20846,3432333864377C18,,,2018-12-26 22:31:28.049,,7.0,38.0
20847,3432333864377C18,,,2018-12-26 22:31:52.543,,7.0,24.0
23321,3432333864377C18,,,2018-12-28 01:11:05.220,,7.0,39.0
23322,3432333864377C18,,,2018-12-28 01:11:32.786,,7.0,27.0
23616,3432333864377C18,,,2018-12-28 04:18:47.859,,7.0,31.0
23617,3432333864377C18,,,2018-12-28 04:19:17.351,,7.0,29.0
25090,3432333864377C18,,,2018-12-28 21:52:43.641,,7.0,39.0
25091,3432333864377C18,,,2018-12-28 21:53:10.407,,7.0,26.0
25092,3432333864377C18,,,2018-12-28 21:53:49.029,,7.0,38.0
